id,value
2017-04-20.手机106,9350
2017-04-20.手机100,2324
2017-04-20.手机138,1138
2017-04-20.手机156,4142
2017-04-20.手机131,2519
2017-04-20.手机189,398
2017-04-20.手机335,556
2017-04-20.手机154,1256
2017-04-20.手机130,2151
2017-04-20.手机024,42
2017-04-20.手机153,3510
2017-04-20.手机133,2293
2017-04-20.手机177,1713
2017-04-20.手机135,465
2017-04-20.手机166,1192
2017-04-20.手机170,1878
2017-04-20.手机168,351
2017-04-20.手机182,122
2017-04-20.手机132,1680
2017-04-20.手机136,2526
2017-04-20.手机185,106
2017-04-20.手机188,1308
2017-04-20.手机157,63
2017-04-20.手机010,447
2017-04-20.手机649,21
2017-04-20.手机171,231
2017-04-20.手机158,133
2017-04-20.手机184,62
2017-04-20.手机123,136
2017-04-20.手机137,89
2017-04-20.手机173,564
2017-04-20.手机234,376
2017-04-20.手机108,37
2017-04-20.手机101,105
2017-04-20.手机186,119
2017-04-20.手机888,1070
2017-04-20.手机150,80
2017-04-20.手机155,75
2017-04-20.手机110,148
2017-04-20.手机180,162
2017-04-20.手机107,655
2017-04-20.手机125,80
2017-04-20.手机163,89
2017-04-20.手机187,74
2017-04-20.手机008,8
2017-04-20.手机679,22
2017-04-20.手机545,65
2017-04-20.手机139,36
2017-04-20.手机159,5
2017-04-20.手机000,14
2017-04-20.手机001,4
2017-04-20.手机122,4
2017-04-20.11位号码,45994
2017-04-20.13位号码,1484
2017-04-20.12位号码,3092
2017-04-20.8位号码,1431
2017-04-20.10位号码,5217
2017-04-20.5位号码,15583
2017-04-20.6位号码,1088
2017-04-20.7位号码,785
2017-04-20.9位号码,1487
2017-04-20.14位号码,184
2017-04-20.15位号码,554
2017-04-20.19位号码,26
2017-04-20.17位号码,124
2017-04-20.18位号码,16
2017-04-20.20位号码,4
2017-04-20.16位号码,3
