id,value
2017-03-02.手机106,4304
2017-03-02.手机100,1661
2017-03-02.手机107,355
2017-03-02.手机131,1955
2017-03-02.手机133,3232
2017-03-02.手机156,445
2017-03-02.手机122,3
2017-03-02.手机132,1566
2017-03-02.手机115,294
2017-03-02.手机175,7
2017-03-02.手机130,1986
2017-03-02.手机153,1580
2017-03-02.手机189,332
2017-03-02.手机185,807
2017-03-02.手机010,1884
2017-03-02.手机139,174
2017-03-02.手机138,708
2017-03-02.手机136,188
2017-03-02.手机024,244
2017-03-02.手机343,50
2017-03-02.手机135,111
2017-03-02.手机199,184
2017-03-02.手机159,22
2017-03-02.手机188,50
2017-03-02.手机134,298
2017-03-02.手机146,45
2017-03-02.手机177,149
2017-03-02.手机172,350
2017-03-02.手机150,22
2017-03-02.手机151,1
2017-03-02.手机152,58
2017-03-02.手机154,1
2017-03-02.手机181,1
2017-03-02.手机008,12
2017-03-02.手机182,4
2017-03-02.手机125,2
2017-03-02.手机186,1
2017-03-02.11位号码,23086
2017-03-02.12位号码,1418
2017-03-02.10位号码,1011
2017-03-02.13位号码,161
2017-03-02.9位号码,685
2017-03-02.14位号码,440
2017-03-02.7位号码,497
2017-03-02.8位号码,553
2017-03-02.5位号码,2371
2017-03-02.15位号码,103
2017-03-02.16位号码,17
2017-03-02.6位号码,1
