id,value
2017-02-25.手机106,10726
2017-02-25.手机165,268
2017-02-25.手机133,1830
2017-02-25.手机100,1454
2017-02-25.手机153,795
2017-02-25.手机123,261
2017-02-25.手机105,259
2017-02-25.手机135,338
2017-02-25.手机131,1186
2017-02-25.手机400,234
2017-02-25.手机132,1805
2017-02-25.手机130,611
2017-02-25.手机152,324
2017-02-25.手机156,1564
2017-02-25.手机136,225
2017-02-25.手机188,234
2017-02-25.手机139,254
2017-02-25.手机189,159
2017-02-25.手机137,1114
2017-02-25.手机185,709
2017-02-25.手机150,10
2017-02-25.手机182,25
2017-02-25.手机010,1358
2017-02-25.手机138,244
2017-02-25.手机178,755
2017-02-25.手机125,52
2017-02-25.手机122,128
2017-02-25.手机158,56
2017-02-25.手机180,88
2017-02-25.手机313,117
2017-02-25.手机031,26
2017-02-25.手机155,14
2017-02-25.手机128,30
2017-02-25.手机154,72
2017-02-25.手机187,18
2017-02-25.手机108,1
2017-02-25.手机151,20
2017-02-25.手机159,1
2017-02-25.手机186,3
2017-02-25.8位号码,2498
2017-02-25.11位号码,27368
2017-02-25.10位号码,2111
2017-02-25.7位号码,764
2017-02-25.9位号码,362
2017-02-25.12位号码,1265
2017-02-25.5位号码,10656
2017-02-25.14位号码,113
2017-02-25.6位号码,37
2017-02-25.13位号码,220
2017-02-25.16位号码,17
2017-02-25.15位号码,5
2017-02-25.19位号码,3
