hour,count
0,80
1,70
2,62
3,82
4,61
5,132
6,480
7,1084
8,1470
9,1497
10,1707
11,1833
12,1868
13,1722
14,1822
15,1722
16,2073
17,2293
18,2191
19,1215
20,484
21,372
22,246
23,126
