hour,count
0,375
1,243
2,88
3,60
4,89
5,166
6,591
7,1058
8,1797
9,2444
10,3482
11,3115
12,2791
13,2522
14,3037
15,3245
16,3327
17,4324
18,4919
19,3780
20,2018
21,1204
22,1140
23,725
