hour,count
0,900
1,368
2,159
3,130
4,235
5,666
6,2509
7,4644
8,5882
9,5984
10,5010
11,4641
12,3646
13,3268
14,3413
15,3506
16,4587
17,5857
18,5909
19,6317
20,3825
21,2468
22,2188
23,1282
