hour,count
0,335
1,151
2,76
3,79
4,93
5,234
6,508
7,1432
8,1848
9,3024
10,4170
11,3979
12,2949
13,2312
14,2257
15,2302
16,2759
17,2400
18,3235
19,2441
20,1802
21,1549
22,1231
23,617
