hour,count
0,572
1,171
2,97
3,92
4,78
5,371
6,1071
7,2141
8,2858
9,2626
10,2595
11,2676
12,1929
13,1364
14,1384
15,1466
16,1847
17,2057
18,2339
19,2091
20,1377
21,1166
22,1019
23,995
