hour,count
0,2164
1,1258
2,333
3,307
4,330
5,588
6,1999
7,5220
8,7609
9,12421
10,14971
11,12663
12,9988
13,9066
14,8827
15,9156
16,8413
17,9484
18,8192
19,6545
20,5224
21,3917
22,3145
23,2300
