hour,count
0,502
1,194
2,156
3,138
4,146
5,377
6,1321
7,2429
8,4550
9,5468
10,5851
11,5420
12,4565
13,3946
14,3775
15,3847
16,5012
17,5014
18,5611
19,4557
20,2952
21,2182
22,1442
23,868
