hour,count
0,254
1,148
2,148
3,125
4,148
5,387
6,1317
7,2819
8,3805
9,3297
10,2815
11,2601
12,2287
13,2041
14,1983
15,2070
16,2800
17,3386
18,3369
19,2900
20,2216
21,1124
22,771
23,519
