hour,count
0,146
1,58
2,52
3,53
4,72
5,112
6,403
7,827
8,1268
9,1747
10,1695
11,1605
12,1550
13,1343
14,832
15,1002
16,932
17,976
18,1000
19,747
20,338
21,189
22,166
23,178
