hour,count
0,402
1,213
2,64
3,93
4,154
5,146
6,355
7,953
8,1527
9,2683
10,4016
11,3746
12,3628
13,3017
14,2701
15,3161
16,3005
17,3780
18,3234
19,2871
20,2165
21,1344
22,1352
23,809
