hour,count
0,527
1,237
2,146
3,138
4,209
5,361
6,1164
7,2672
8,4459
9,4739
10,5138
11,4289
12,4081
13,3270
14,3689
15,4059
16,4306
17,5344
18,5700
19,4438
20,3959
21,2062
22,1642
23,964
