hour,count
0,391
1,141
2,162
3,114
4,280
5,609
6,2020
7,3957
8,5239
9,5434
10,5708
11,4233
12,3668
13,3468
14,3826
15,3824
16,4705
17,5905
18,6180
19,3906
20,2413
21,1288
22,727
23,387
