hour,count
0,268
1,140
2,44
3,67
4,62
5,174
6,397
7,858
8,1377
9,2150
10,2210
11,1830
12,1609
13,1370
14,1586
15,2158
16,2157
17,2261
18,1645
19,1037
20,543
21,477
22,467
23,278
