hour,count
0,578
1,283
2,144
3,133
4,212
5,475
6,1920
7,3776
8,4316
9,4950
10,5805
11,5056
12,4603
13,4597
14,4260
15,4917
16,5179
17,5817
18,6545
19,4616
20,2751
21,2286
22,1290
23,1083
