hour,count
0,778
1,271
2,170
3,165
4,225
5,529
6,1767
7,4206
8,5352
9,5065
10,4277
11,3327
12,2813
13,2997
14,2429
15,2550
16,3593
17,4906
18,5933
19,5436
20,3259
21,2503
22,1632
23,1138
