hour,count
0,574
1,225
2,129
3,153
4,163
5,368
6,1728
7,3756
8,4319
9,3904
10,3488
11,2507
12,2309
13,2006
14,1973
15,2261
16,3761
17,5046
18,5005
19,4256
20,3028
21,1979
22,1734
23,1080
