hour,count
0,466
1,199
2,85
3,104
4,174
5,407
6,1371
7,2974
8,3937
9,4387
10,4739
11,4201
12,3684
13,3376
14,2650
15,3127
16,3429
17,4160
18,4400
19,3250
20,2497
21,1641
22,1245
23,835
