hour,count
0,354
1,358
2,220
3,168
4,158
5,428
6,1408
7,2762
8,3928
9,4762
10,6466
11,6542
12,5998
13,7096
14,5862
15,5926
16,5252
17,6642
18,5982
19,5900
20,4606
21,3018
22,2284
23,1410
