hour,count
0,107
1,56
2,51
3,53
4,60
5,144
6,459
7,929
8,1116
9,1290
10,1224
11,1151
12,1309
13,721
14,584
15,738
16,859
17,1157
18,1259
19,1070
20,636
21,411
22,281
23,152
