hour,count
0,690
1,425
2,88
3,78
4,76
5,154
6,670
7,1706
8,2228
9,2357
10,2714
11,2590
12,2696
13,2286
14,2457
15,2515
16,3142
17,3402
18,3506
19,3724
20,2919
21,1661
22,1892
23,1095
