hour,count
0,784
1,257
2,97
3,111
4,146
5,493
6,1476
7,2949
8,3236
9,2940
10,2805
11,3230
12,2357
13,1792
14,2087
15,2168
16,2835
17,3864
18,3651
19,3403
20,2377
21,1613
22,1555
23,1034
