hour,count
0,643
1,340
2,222
3,153
4,261
5,575
6,2582
7,4620
8,6400
9,5800
10,4792
11,3793
12,3614
13,3199
14,3447
15,3740
16,4660
17,5662
18,6787
19,5500
20,3470
21,2553
22,1735
23,1293
