hour,count
0,325
1,238
2,176
3,135
4,193
5,600
6,2139
7,4499
8,5731
9,5831
10,5684
11,4806
12,3348
13,3225
14,3715
15,3689
16,4710
17,6246
18,6322
19,4787
20,3222
21,1969
22,1491
23,917
