hour,count
0,99
1,40
2,47
3,48
4,50
5,126
6,529
7,744
8,990
9,988
10,1202
11,953
12,1133
13,848
14,914
15,1159
16,1127
17,1509
18,1382
19,698
20,295
21,145
22,148
23,79
