hour,count
0,144
1,93
2,61
3,54
4,121
5,190
6,837
7,1419
8,1842
9,1968
10,3008
11,2853
12,2828
13,2512
14,2047
15,1742
16,2214
17,2832
18,2810
19,1751
20,931
21,393
22,276
23,194
