hour,count
0,812
1,374
2,192
3,133
4,128
5,326
6,1002
7,1660
8,2208
9,3387
10,3520
11,3169
12,2647
13,2118
14,2387
15,2351
16,3019
17,3930
18,3732
19,4043
20,2154
21,1414
22,1212
23,1340
