hour,count
0,112
1,66
2,85
3,36
4,75
5,115
6,488
7,845
8,1062
9,1891
10,2738
11,2902
12,2509
13,2376
14,2217
15,2199
16,2571
17,2677
18,2642
19,1567
20,964
21,359
22,330
23,192
